"artist","title","sales_price","sales_price_log","estimate_range","created","auction_location","surface","artist_seal","inscribed","signed","dated","titled","stamped","auction_year","auction_month","auction_weekday","canvas","oil","acrylic","board","paper","lacquer","masonite","panel","ink","wood"
"Romualdo Battista Federico Locatelli","PORTRAIT OF A GIRL",668040,13.4121033309656,128100,"1939","0",5104,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Manfong Lee","DOVES",1636480,14.3080581516449,256200,NA,"0",29768,"0","0","1","0","0","0",2019,3,"Sunday",0,1,0,0,0,0,1,0,0,0
"Manfong Lee","BALI LIFE (ESTIMATE UPON REQUEST)",3711700,15.1270005506567,NA,NA,"0",14833,"0","0","1","0","0","0",2019,3,"Sunday",0,1,0,0,0,0,1,0,0,0
"Kusama Affandi","BARONG",384300,12.8591787765529,128100,"1980","0",16080,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Kusama Affandi","SELF PORTRAIT",256200,12.4537136684448,128100,"1977","0",12303.75,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Hendra Gunawan","WOMEN AND CHILDREN BY THE BEACH (ESTIMATE UPON REQUEST)",1405900,14.156188225068,NA,NA,"0",27035.5,"0","0","1","0","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,1,0,1
"Ronald Ventura","BANG",320250,12.676857219759,128100,"2017","0",27740,"0","0","1","1","0","0",2019,3,"Sunday",1,1,0,0,0,0,0,0,0,0
"Inyoman Masriadi","I HAVE BALL",272210,12.5143291062176,153720,"2016","0",60000,"0","0","1","1","0","0",2019,3,"Sunday",1,0,1,0,0,0,0,0,0,0
"Walasse Ting","PORTRAIT OF A WOMAN",6730,8.81433042263877,2567,NA,"0",3595.5,"0","0","0","0","0","1",2019,4,"Monday",0,0,1,0,1,0,0,0,0,0
"Walasse Ting","THREE WOMEN",16010,9.68096880599076,6410,NA,"0",16992,"0","0","0","0","0","1",2019,4,"Monday",0,0,1,0,1,0,0,0,0,0
"Raduan Man","A KISS GOODNIGHT",4803,8.47699600166482,2570,"2018","0",41209,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Rafiee Ghani","THE THIEF'S GARDEN HAS NO BUTTERFLIES",12010,9.39349491507403,2560,"2018","0",39162,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Arin Dwihartanto Sunaryo","VOLCANIC ASH SERIES #5",38430,10.5565936835589,8970,"2012","0",25258,"0","0","1","1","0","0",2019,4,"Monday",0,0,0,0,0,0,0,1,0,1
"Suzlee Ibrahim","MIDNIGHT SUMMERS NO.1",9610,9.17055950196434,2560,"2017-18","0",27664,"0","0","1","1","0","0",2019,4,"Monday",1,1,1,0,0,0,0,0,0,0
"Jigger Cruz","COUNTERBALANCE",41630,10.636576340189,12810,"2013","0",15476,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Walasse Ting","VENUS UNDER GOLDEN RAIN",76860,11.2497408641188,25620,"1969","0",30740,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Marina Cruz","WHEN WE WERE TEN YEARS OLD – ELISA AND LAURA (DIPTYCH)",60850,11.0161670984157,11530,"2012","0",NA,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Niti Wattuya","SELF PORTRAIT BLUE",640,6.46146817635372,2430,"2005","0",5600,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Ismail Alwi","TREE OF LIFE",4803,8.47699600166482,2570,"2018","0",18468,"0","0","1","1","0","0",2019,4,"Monday",1,1,1,0,0,0,0,0,0,0
"Thaweesak Srithongdee","LING",320,5.76832099579377,2558,NA,"0",5400,"0","0","0","0","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"Jigger Cruz","UNTITLED",30420,10.3228555658133,2560,NA,"0",14884,"0","0","0","0","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Agus Triyanto","TIME TRAVELER",19220,9.86370668252428,3840,"2018","0",35200,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Rolando Ventura","CAPTAIN AMERICA",27220,10.2117072762055,7690,"2015","0",32528,"0","0","1","1","0","0",2019,4,"Monday",1,0,1,0,0,0,0,0,0,0
"S Dwi Setyo","GREEN HOUSE",11210,9.32456151606621,2570,"2019","0",32400,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
"Mariam Sofrina","JALAN MERDEKA",16010,9.68096880599076,2567,"2010","0",10800,"0","0","1","1","0","0",2019,4,"Monday",1,1,0,0,0,0,0,0,0,0
