,sales_price,estimate_range,auction_location,surface,auction_year,auction_month,auction_weekday
119,9610,2560.0,0,1440.5,2019,4,Monday
120,14410,2560.0,0,3300.0,2019,4,Monday
121,9610,2570.0,0,8239.0,2019,4,Monday
122,6410,2570.0,0,7821.0,2019,4,Monday
123,9610,2560.0,0,9065.0,2019,4,Monday
124,4803,2567.0,0,6175.0,2019,4,Monday
125,5120,2951.0,0,2727.0,2019,4,Monday
126,44840,24340.0,0,6118.75,2019,4,Monday
127,3202,2558.0,0,21000.0,2019,4,Monday
128,7210,2567.0,0,789.25,2019,4,Monday
129,51240,10250.0,0,5580.0,2019,4,Monday
130,5600,2570.0,0,21097.5,2019,4,Monday
131,8010,2560.0,0,4500.0,2019,4,Monday
132,9610,2567.0,0,4200.0,2019,4,Monday
133,256200,25620.0,0,9211.5,2019,4,Monday
134,30420,7690.0,0,3710.0,2019,4,Monday
135,56040,8970.0,0,8100.0,2019,4,Monday
136,80060,25620.0,0,26100.0,2019,4,Monday
137,8810,2570.0,0,1905.75,2019,4,Monday
138,14410,7690.0,0,12950.0,2019,4,Monday
139,88070,12810.0,0,7105.0,2019,4,Monday
140,67250,3840.0,0,10201.0,2019,4,Monday
141,960,1281.0,0,2975.0,2019,4,Monday
142,96080,25620.0,0,19723.0,2019,4,Monday
143,144110,89670.0,0,17770.5,2019,4,Monday
144,88070,51240.0,0,16030.0,2019,4,Monday
145,480380,128100.0,0,12642.0,2019,4,Monday
146,192150,76860.0,0,19550.0,2019,4,Monday
147,51240,25620.0,0,13248.0,2019,4,Monday
148,32030,6410.0,0,2975.0,2019,4,Monday
149,60850,12810.0,0,6400.0,2019,4,Monday
150,112090,25620.0,0,14904.0,2019,4,Monday
151,416330,128100.0,0,27100.0,2019,4,Monday
152,96080,25620.0,0,10330.5,2019,4,Monday
153,112090,25620.0,0,6140.75,2019,4,Monday
154,35230,8970.0,0,1312.0,2019,4,Monday
155,168130,25620.0,0,20930.0,2019,4,Monday
156,160130,25620.0,0,10000.0,2019,4,Monday
157,144110,12810.0,0,1660.5,2019,4,Monday
158,256200,12810.0,0,12262.4,2019,4,Monday
159,416330,64050.0,0,515.1,2019,4,Monday
160,384300,89670.0,0,5836.95,2019,4,Monday
161,56040,12810.0,0,70000.0,2019,4,Monday
162,44840,12810.0,0,34715.1,2019,4,Monday
163,256200,128100.0,0,23225.76,2019,4,Monday
164,288230,256200.0,0,32400.0,2019,4,Monday
165,112090,25620.0,0,18000.0,2019,4,Monday
166,128100,25620.0,0,13000.0,2019,4,Monday
167,448350,25620.0,0,600.6,2019,4,Monday
168,1206060,256200.0,0,22500.0,2019,4,Monday
169,38430,12810.0,0,658.24,2019,4,Monday
170,176140,12810.0,0,4050.0,2019,4,Monday
171,76860,10240.0,0,6305.0,2019,4,Monday
172,480380,115290.0,0,65224.25,2019,4,Monday
173,352280,128100.0,0,62859.06,2019,4,Monday
174,51240,12810.0,0,150.0,2019,4,Monday
175,192150,25620.0,0,6606.5,2019,4,Monday
176,32030,12810.0,0,7500.0,2019,4,Monday
177,104080,25620.0,0,8290.04,2019,4,Monday
178,76860,25620.0,0,1749.0,2019,4,Monday
179,208160,89670.0,0,4405.62,2019,4,Monday
180,256200,51240.0,0,4248.0,2019,4,Monday
181,96080,51240.0,0,22067.43,2019,4,Monday
182,8810,2567.0,0,6864.0,2019,4,Monday
183,30420,12810.0,0,15000.0,2019,4,Monday
184,5120,2567.0,0,4800.0,2019,4,Monday
185,800,2570.0,0,9600.0,2019,4,Monday
186,128100,51240.0,0,33000.0,2019,4,Monday
187,6730,2570.0,0,4692.25,2019,4,Monday
188,25620,8970.0,0,1024.0,2019,4,Monday
189,1252180,256200.0,0,50000.0,2019,4,Monday
190,791020,256200.0,0,5428.0,2019,4,Monday
191,72060,12810.0,0,1254.0,2019,4,Monday
192,160130,25620.0,0,6400.0,2019,4,Monday
193,51240,12810.0,0,972.0,2019,4,Monday
194,136110,12810.0,0,25220.0,2019,4,Monday
195,64050,12810.0,0,21141.0,2019,4,Monday
196,128100,89670.0,0,30000.0,2019,4,Monday
197,38430,8970.0,0,2237.29,2019,4,Monday
198,352280,128100.0,0,1303.8,2019,4,Monday
199,27220,12810.0,0,663.39,2019,4,Monday
200,160130,51240.0,0,1303.8,2019,4,Monday
201,288230,25620.0,0,1521.0,2019,4,Monday
202,560440,128100.0,0,1846.8,2019,4,Monday
203,512400,128100.0,0,3455.6,2019,4,Monday
204,12810,12810.0,0,8073.0,2019,4,Monday
205,22420,5120.0,0,10619.7,2019,4,Monday
206,48040,25620.0,0,1729.0,2019,4,Monday
207,17610,5120.0,0,13851.0,2019,4,Monday
208,41630,1290.0,0,1724.45,2019,4,Monday
209,25620,17940.0,0,4290.28,2019,4,Monday
210,32030,12810.0,0,4256.0,2019,4,Monday
211,714160,256200.0,0,1541.0,2019,4,Monday
212,176140,89670.0,0,21060.0,2019,4,Monday
213,28820,10250.0,0,2126.25,2019,4,Monday
214,67250,15370.0,0,1596.0,2019,4,Monday
215,64050,25620.0,0,5600.0,2019,4,Monday
216,24020,10250.0,0,4200.0,2019,4,Monday
217,44840,10250.0,0,8000.0,2019,4,Monday
218,5120,2562.0,0,3000.0,2019,4,Monday
219,38430,25620.0,0,6300.0,2019,4,Monday
220,320,641.0,0,133.4,2019,4,Monday
221,1441,1025.0,0,4800.0,2019,4,Monday
222,1281,1025.0,0,3750.0,2019,4,Monday
223,19220,5130.0,0,9558.0,2019,4,Monday
224,28820,19210.0,0,8082.5,2019,4,Monday
225,192150,76860.0,0,10324.0,2019,4,Monday
226,176140,89670.0,0,46390.5,2019,4,Monday
227,152120,64050.0,0,25317.0,2019,4,Monday
228,606550,140910.0,0,3025.0,2019,4,Monday
229,400310,76860.0,0,5265.0,2019,4,Monday
230,56040,25620.0,0,16903.68,2019,4,Monday
231,104080,44830.0,0,23400.0,2019,4,Monday
232,35230,11530.0,0,6800.0,2019,4,Monday
233,35230,6400.0,0,2143.69,2019,4,Monday
234,96080,51240.0,0,15129.0,2019,4,Monday
235,12010,10250.0,0,8347.94,2019,4,Monday
236,38430,12810.0,0,11847.0,2019,4,Monday
237,32030,25620.0,0,4800.0,2019,4,Monday
238,51240,12810.0,0,6400.0,2019,4,Monday
239,12810,6400.0,0,5185.18,2019,4,Monday
240,4163,2558.0,0,2767.5,2019,4,Monday
241,19220,6407.0,0,34142.0,2019,4,Monday
242,240190,25620.0,0,412.09,2019,4,Monday
243,320250,25620.0,0,412.09,2019,4,Monday
244,14855240,256200.0,0,10322.56,2019,4,Monday
245,384300,25620.0,0,1504.0,2019,4,Monday
246,46440,5120.0,0,20832.0,2019,4,Monday
247,760270,256200.0,0,10322.56,2019,4,Monday
248,304240,25620.0,0,1504.0,2019,4,Monday
249,2712520,256200.0,0,10322.56,2019,4,Monday
250,2635660,256200.0,0,10322.56,2019,4,Monday
251,256200,25620.0,0,1504.0,2019,4,Monday
252,48040,5120.0,0,20832.0,2019,4,Monday
253,944740,256200.0,0,10322.56,2019,4,Monday
254,272210,25620.0,0,412.09,2019,4,Monday
255,560440,256200.0,0,50246.0,2019,4,Monday
256,698790,256200.0,0,25100.0,2019,4,Monday
257,512400,64050.0,0,79074.8,2019,4,Monday
258,1282920,192150.0,0,45600.0,2019,4,Monday
259,160130,64050.0,0,46250.0,2019,4,Monday
260,6976330,1281000.0,0,21125.0,2019,4,Monday
261,3404260,768600.0,0,21615.4,2019,4,Monday
262,1098460,384300.0,0,1710.0,2019,4,Monday
263,384300,128100.0,0,8281.0,2019,4,Monday
264,7997670,2562000.0,0,15584.1,2019,4,Monday
265,256200,64050.0,0,22660.0,2019,4,Monday
266,2943100,768600.0,0,44100.0,2019,4,Monday
267,1405900,768600.0,0,31507.2,2019,4,Monday
268,1559620,192150.0,0,8313.0,2019,4,Monday
269,480380,256200.0,0,43120.0,2019,4,Monday
270,2066890,1024800.0,0,30060.0,2019,4,Monday
271,3404260,640500.0,0,41405.0,2019,4,Monday
272,2512680,768600.0,0,66000.0,2019,4,Monday
273,320250,128100.0,0,1302.4,2019,4,Monday
274,637300,256200.0,0,21190.0,2019,4,Monday
275,1329040,512400.0,0,28190.8,2019,4,Monday
276,400310,128100.0,0,25491.9,2019,4,Monday
277,5663170,768600.0,0,44591.02,2019,4,Monday
278,1252180,256200.0,0,40000.0,2019,4,Monday
279,668040,256200.0,0,16978.09,2019,4,Monday
280,944740,128100.0,0,74828.4,2019,4,Monday
281,288230,38430.0,0,60000.0,2019,4,Monday
